Clave,Nombre,Nivel,Institucion,Programa,Inicio,Fin,Semestre,Semestre letras,Horas,Horas por semana,Comentario
1566,Seminario departamental III,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2022/08/15,2023/01/06,22B,,36,2,
DI-267,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2022/08/15,2023/01/06,22B,,72,4,
1626,Seminario departamental II,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2023/01/30,2023/06/26,23A,,36,2,
1638,Deep learning,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2023/01/30,2023/06/26,23A,,72,4,
DI-281,Seminario de tesis II. Gestión y administración de proyectos de desarrollo tecnológico e innovación y protección de derechos intelectuales,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2023/01/30,2023/06/26,23A,,36,2,
DI-277,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2023/01/30,2023/06/26,23A,,72,4,
4AM1,Desarrollo de Aplicaciones para Análisis de Datos,Licenciatura,ESCOM,Licenciatura en Ciencia de Datos,2023/01/30,2023/06/26,23A,,81,4.5,
6BM1,Redes Neuronales y Aprendizaje Profundo,Licenciatura,ESCOM,Ingeniería en Inteligencia Artificial,2023/01/30,2023/06/26,23A,,81,4.5,
1693,Seminario departamental III,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2023/08/28,2024/01/22,23B,,36,2,
1698,Deep learning,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2023/08/28,2024/01/22,23B,,72,4,
DI-304,Seminario de tesis III. Examen predoctoral,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2023/08/28,2024/01/22,23B,,36,2,
DI-296,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2023/08/28,2024/01/22,23B,,72,4,
6BM1,Redes Neuronales y Aprendizaje Profundo,Licenciatura,ESCOM,Ingeniería en Inteligencia Artificial,2023/08/28,2024/01/22,23B,,81,4.5,
DI-318,Tópicos selectos en robótica y mecatrónica I,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24A,Febrero-Julio 2024,72,4,
DI-320,Tratamiento de análisis digital de imágenes,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24A,Febrero-Julio 2024,72,4,
DI-323,Seminario de tesis I. Definición y registro de trabajo de tesis,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24A,Febrero-Julio 2024,36,2,
DI-329,Seminario de tesis IV,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24A,Febrero-Julio 2024,36,2,
6BM1,Redes Neuronales y Aprendizaje Profundo,Licenciatura,ESCOM,Ingeniería en Inteligencia Artificial,,,24A,Febrero-Julio 2024,81,4.5,
,Redes Neuronales y Aprendizaje Profundo,Licenciatura,ESCOM,Ingeniería en Inteligencia Artificial,2024/02/13,2024/07/8,24B,,81,4.5,
DI-340,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24B,Agosto 2024 – Enero 2025,72,4,
DI-347,Seminario de tesis II. Gestión y administración de proyectos de desarrollo tecnológico e innovación y protección de derechos intelectuales,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,24B,Agosto 2024 – Enero 2025,36,2,
1794,Seminario departamental I,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,24B,Agosto 2024 – Enero 2025,36,2,
1827,Deep learning,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,24B,Agosto 2024 – Enero 2025,72,4,
DCTIACD-0009,Aprendizaje profundo,Doctorado,CIDETEC-IPN,Doctorado en Ciencia y Tecnología de Inteligencia Artificial y Ciencia de Datos,,,25A,Febrero-Julio 2025,72,4,
